ID,emotion
1,1
2,1
3,0
4,6
5,3
6,3
7,2
8,4
9,3
10,2
11,3
12,0
13,4
14,2
15,6
16,5
17,5
18,5
19,5
20,3
21,4
22,5
23,4
24,4
25,0
26,6
27,4
28,6
29,0
30,5
31,3
32,6
33,3
34,6
35,4
36,2
37,4
38,2
39,4
40,3
41,0
42,2
43,0
44,6
45,3
46,3
47,5
48,3
49,5
50,6
51,0
52,3
53,5
54,4
55,6
56,3
57,2
58,4
59,5
60,3
61,6
62,3
63,4
64,5
65,5
66,3
67,5
68,6
69,2
70,3
71,0
72,5
73,6
74,3
75,2
76,6
77,5
78,6
79,4
80,4
81,0
82,0
83,0
84,3
85,5
86,0
87,3
88,3
89,3
90,3
91,6
92,0
93,3
94,4
95,0
96,0
97,3
98,3
99,3
100,0
101,3
102,6
103,0
104,3
105,2
106,5
107,6
108,4
109,5
110,3
111,3
112,0
113,0
114,6
115,3
116,2
117,3
118,6
119,2
120,6
121,5
122,0
123,0
124,2
125,4
126,6
127,3
128,4
129,5
130,5
131,2
132,6
133,2
134,6
135,5
136,5
137,5
138,3
139,6
140,6
141,2
142,3
143,1
144,4
145,4
146,6
147,3
148,3
149,3
150,2
151,6
152,0
153,5
154,3
155,5
156,5
157,0
158,5
159,0
160,3
161,0
162,3
163,3
164,3
165,0
166,6
167,6
168,0
169,5
170,6
171,6
172,4
173,5
174,6
175,4
176,6
177,4
178,2
179,4
180,5
181,6
182,3
183,5
184,3
185,3
186,6
187,4
188,3
189,3
190,3
191,4
192,0
193,5
194,5
195,3
196,4
197,5
198,6
199,0
200,0
201,3
202,3
203,3
204,3
205,3
206,5
207,4
208,4
209,4
210,2
211,6
212,0
213,0
214,4
215,6
216,5
217,5
218,4
219,6
220,3
221,3
222,4
223,5
224,4
225,2
226,3
227,5
228,0
229,0
230,3
231,3
232,6
233,5
234,2
235,3
236,3
237,6
238,0
239,0
240,6
241,3
242,6
243,6
244,0
245,1
246,3
247,3
248,3
249,1
250,6
251,4
252,2
253,4
254,3
255,3
256,6
257,5
258,4
259,2
260,6
261,4
262,0
263,0
264,6
265,2
266,0
267,0
268,3
269,3
270,4
271,0
272,4
273,5
274,3
275,5
276,3
277,2
278,5
279,0
280,2
281,3
282,5
283,6
284,2
285,4
286,4
287,2
288,6
289,4
290,6
291,5
292,3
293,6
294,4
295,3
296,6
297,2
298,6
299,6
300,3
301,4
302,0
303,3
304,3
305,0
306,3
307,5
308,3
309,3
310,3
311,3
312,6
313,4
314,6
315,1
316,0
317,4
318,2
319,2
320,3
321,0
322,5
323,3
324,6
325,2
326,4
327,4
328,3
329,3
330,5
331,3
332,3
333,0
334,3
335,5
336,3
337,3
338,4
339,0
340,0
341,4
342,5
343,6
344,4
345,6
346,6
347,3
348,3
349,4
350,6
351,6
352,0
353,6
354,3
355,6
356,4
357,3
358,0
359,3
360,2
361,4
362,5
363,3
364,4
365,5
366,3
367,3
368,3
369,2
370,4
371,4
372,6
373,4
374,1
375,4
376,2
377,1
378,5
379,4
380,4
381,4
382,5
383,3
384,4
385,3
386,6
387,3
388,5
389,6
390,0
391,6
392,6
393,3
394,5
395,0
396,5
397,2
398,2
399,4
400,0
401,0
402,5
403,3
404,6
405,2
406,6
407,5
408,5
409,5
410,5
411,3
412,5
413,4
414,3
415,3
416,6
417,6
418,5
419,5
420,4
421,6
422,3
423,2
424,4
425,6
426,0
427,5
428,3
429,3
430,4
431,2
432,4
433,2
434,6
435,3
436,0
437,3
438,2
439,6
440,0
441,4
442,0
443,6
444,2
445,5
446,4
447,0
448,3
449,0
450,1
451,0
452,3
453,6
454,4
455,4
456,5
457,4
458,4
459,0
460,6
461,5
462,5
463,2
464,3
465,6
466,6
467,4
468,3
469,3
470,4
471,3
472,5
473,2
474,4
475,6
476,1
477,3
478,6
479,2
480,4
481,6
482,6
483,6
484,0
485,4
486,2
487,6
488,5
489,3
490,6
491,3
492,0
493,3
494,0
495,4
496,4
497,5
498,2
499,4
500,5
501,6
502,0
503,3
504,5
505,0
506,3
507,6
508,6
509,5
510,4
511,2
512,3
513,0
514,2
515,2
516,3
517,5
518,4
519,0
520,6
521,3
522,6
523,1
524,6
525,3
526,3
527,3
528,3
529,4
530,0
531,0
532,3
533,5
534,5
535,2
536,6
537,0
538,4
539,5
540,3
541,4
542,4
543,6
544,6
545,2
546,0
547,6
548,4
549,3
550,3
551,4
552,4
553,4
554,4
555,0
556,4
557,2
558,0
559,6
560,4
561,1
562,0
563,5
564,0
565,2
566,5
567,6
568,5
569,4
570,6
571,4
572,3
573,6
574,6
575,2
576,2
577,2
578,3
579,2
580,5
581,4
582,3
583,2
584,3
585,5
586,4
587,3
588,5
589,4
590,2
591,5
592,3
593,4
594,6
595,3
596,3
597,3
598,0
599,4
600,6
601,4
